Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
CC[N+](CCOC(=O)C(c1ccccc1)(C1CCCCC1)O)(CC)C.[Br-],C21H34BrNO3,0.16029,-0.00554,-0.25884,0.799411,0.497586,-0.69176,-0.50877,0.173241,-0.71359,-0.2895,1.0219,-0.27905,-0.60974,-0.4134,-0.16762,-0.88263,-2.58E-02,-2.57E-02,-0.84067,-0.80192,-2.52E-02,-2.52E-02,-0.61605,-0.58728,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.825463,-0.58263,-0.83184,-0.59641,-0.65233,0.016684,0.359296,-0.23795,0.280728,1.965735,-0.06251
CC[N+](c1cccc(c1)O)(C)C.[Cl-],C10H16ClNO,-0.90837,-0.94858,-0.25884,-0.27877,-0.71897,-0.93806,-0.50877,-0.78531,-1.03099,-0.27624,-1.23975,-0.71526,-0.96095,-1.34343,-0.99688,1.45896,-2.58E-02,-2.57E-02,1.975722,2.161175,-2.52E-02,-2.52E-02,1.903605,0.222483,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.62802,-0.58263,-0.07495,-0.59641,-0.65233,0.016684,0.359296,-0.23795,0.280728,-0.3596,-1.49074
N[C@H](C(=O)O)CS.Cl,C3H8ClNO2S,-1.1161,-1.31128,-1.18747,0.799411,-0.71897,-0.69176,-0.15108,-1.20425,-0.04271,0.0577,-1.03415,-0.35695,-1.49382,-1.15583,-0.73665,1.540146,-2.58E-02,-2.57E-02,1.975722,1.298277,-2.52E-02,-2.52E-02,1.903605,1.611133,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.34993,-0.58263,1.438839,-0.59641,-0.65233,0.716544,0.359296,-0.23795,0.280728,-0.3596,-1.17999
CCCC(COC(=O)N)(COC(=O)NC(C)C)C,C12H24N2O4,-0.63195,-0.58587,-1.18747,1.438334,0.67138,-0.44547,-0.15108,-0.60198,-0.18113,0.390438,0.051324,0.231933,0.084604,-0.53714,0.214054,0.527453,-2.58E-02,-2.57E-02,1.036924,0.053849,-2.52E-02,-2.52E-02,0.223833,0.642868,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.36198,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,0.280728,-0.3596,-0.39118
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2C4=NC5(NC4=C(C(=O)c2c(c3C)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C)CCN(CC5)CC(C)C,C46H62N4O11,2.133467,2.533398,-0.25884,0.479949,-0.19759,1.771181,0.921995,2.667033,1.205535,0.390438,0.051324,0.56532,0.084604,-0.53714,0.214054,0.527453,-2.58E-02,-2.57E-02,1.036924,0.053849,-2.52E-02,-2.52E-02,0.223833,0.642868,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.36198,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,0.280728,-0.3596,-0.39118
C#C[C@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=Cc3c(C[C@]12C)cno3,C22H27NO2,-0.26838,-0.07808,-0.41361,0.839343,-1.06656,-0.69176,-0.50877,-0.03734,-0.71685,0.460361,0.595572,0.908055,1.162455,0.823986,0.949637,-0.50661,-2.58E-02,-2.57E-02,-0.84067,-0.27776,-2.52E-02,-2.52E-02,-0.61605,-0.20135,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,1.878749,0.98634,2.749695,-0.36668,2.648644,-0.47951,-0.39508,0.662317,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,0.280728,-0.3596,1.001191
CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1,C22H28N2O,-0.27305,-0.07808,0.669798,-0.23884,0.149998,-0.93806,-0.86646,0.141172,-0.99092,0.496529,0.701398,0.774077,1.021163,0.656341,0.91147,-0.48951,-2.58E-02,-2.57E-02,-0.84067,-0.23854,-2.52E-02,-2.52E-02,-0.61605,-0.74923,-2.47E-02,-2.47E-02,-1.43158,0.8216132743,1.878749,-1.01323,-0.36345,2.725518,-0.37732,2.084166,2.529585,0.755014,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-0.3596,-0.95889
OC(=O)c1cc2ccccc2c(c1O)Cc1c(O)c(cc2c1cccc2)C(=O)O.OCCOCCN1CCN(CC1)C(c1ccc(cc1)Cl)c1ccccc1,C44H43ClN2O8,1.738785,2.098151,3.765246,-0.95763,1.018968,1.032298,0.921995,2.245129,0.5472,0.808772,0.773965,1.584177,1.057495,0.640375,1.29314,-1.57485,-2.58E-02,-2.57E-02,-1.77947,-1.27972,-2.52E-02,-2.52E-02,-1.45594,-0.69065,-2.47E-02,-2.47E-02,-1.43158,-0.7682798259,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.146,0.518042,2.195733,2.481588,3.420996,0.716544,0.359296,-0.23795,-0.77024,1.965735,0.827892
C=CCN1CC[C@@]23[C@@]4([C@H]1Cc1c3c(O[C@H]2C(=O)CC4)c(cc1)O)O.[Cl-].[H+],C19H21ClNO4,-0.14403,-0.07808,-0.25884,0.240353,-0.71897,-0.19917,-0.15108,-0.05365,-0.43034,0.0577,0.35066,-1.00814,0.177453,0.14143,-0.05311,-0.31432,-2.58E-02,-2.57E-02,0.098126,-0.15653,-2.52E-02,-2.52E-02,-0.61605,0.263832,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,2.084166,-0.39508,0.387935,-0.58263,-0.07495,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,0.280728,-0.3596,0.523124
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl,C21H23ClFNO2,-0.08737,-0.00554,0.669798,-0.35864,-0.0238,-0.44547,-0.50877,0.085375,-0.78588,0.492912,0.776988,0.961023,1.009053,1.211168,1.064138,-0.6818,-2.58E-02,-2.57E-02,-0.84067,-0.45604,-2.52E-02,-2.52E-02,-0.61605,-1.02144,-2.47E-02,-2.47E-02,-1.43158,0.8216132743,1.878749,-1.01323,2.749695,2.725518,-0.37732,2.084166,2.529585,0.732767,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,0.803066,-0.8573
OCC1OC(CC1O)n1cc(c(=O)[nH]c1=O)C(F)(F)F,C10H11F3N2O5,-0.46287,-0.44079,-0.25884,0.519882,-0.54518,0.53971,0.206612,-0.79273,-0.01338,0.198752,-0.66225,-0.39122,-0.45634,-0.66087,-0.31334,0.775285,-2.58E-02,-2.57E-02,1.036924,0.824039,-2.52E-02,-2.52E-02,1.063719,1.087374,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.33881,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-1.52227,-0.06848
COc1cc(cc(c1O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)OC1OC2COC(OC2C(C1O)O)c1cccs1,C32H32O13S,1.236204,1.44528,1.44366,0.000757,-0.0238,1.771181,0.206612,1.034102,1.006647,0.375971,-0.14823,0.256859,-0.23431,0.14143,0.227933,-0.57497,-2.58E-02,-2.57E-02,-0.84067,-0.43822,-2.52E-02,-2.52E-02,-0.61605,-0.13932,-2.47E-02,-2.47E-02,-0.25938,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,2.084166,-0.39508,-0.70959,1.618714,1.438839,0.942589,1.384333,2.116264,-1.88831,-0.23795,-0.77024,-0.3596,1.586824
[Mg+2].[OH-].[OH-],H2MgO2,-1.58418,-1.67399,-1.18747,0.000757,-1.06656,1.771181,0.206612,-1.79818,-0.71854,0.375971,-0.14823,0.256859,-0.23431,0.14143,0.227933,-0.57497,-2.58E-02,-2.57E-02,-0.84067,-0.43822,-2.52E-02,-2.52E-02,-0.61605,-0.13932,-2.47E-02,-2.47E-02,-0.25938,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,2.084166,-0.39508,-0.70959,1.618714,1.438839,0.942589,1.384333,2.116264,-1.88831,-0.23795,-0.77024,-0.3596,1.586824
CCCOc1ccc(cc1N)C(=O)OCCN(CC)CC.[Cl-].[H+],C16H26ClN2O3,-0.29954,-0.29571,-0.25884,0.360151,0.67138,-0.44547,-0.50877,-0.18267,-0.49322,0.0577,0.544171,-0.49716,0.524626,0.121472,0.162008,-0.18613,-2.58E-02,-2.57E-02,0.098126,-0.35264,-2.52E-02,-2.52E-02,-0.61605,-0.10487,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.632654,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,0.280728,0.803066,-0.7079
COC(=O)C[C@@](C(=O)O[C@@H]1C(=C[C@]23[C@@H]1c1cc4OCOc4cc1CCN3CCC2)OC)(CCCC(O)(C)C)O,C29H39NO9,0.712836,0.937492,-0.25884,0.759478,0.845174,1.032298,-0.15108,0.811658,0.221231,0.553191,-0.27523,0.288016,0.124973,0.432813,0.418768,0.040335,-2.58E-02,-2.57E-02,0.098126,0.203609,-2.52E-02,-2.52E-02,0.223833,-0.15655,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,2.084166,2.529585,-0.5687,0.518042,1.438839,0.942589,-0.65233,-0.68318,0.359296,-0.23795,0.280728,0.803066,1.556945
CO/N=C(\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)COC(=O)N)/c1ccco1,C16H16N4O8S,0.141387,0.212081,-0.41361,-0.63817,0.497586,0.786004,0.206612,-0.00916,1.127211,0.298815,-0.57154,-0.6841,-0.95288,-1.26759,-0.4903,0.56591,-2.58E-02,-2.57E-02,1.036924,0.00393,-2.52E-02,-2.52E-02,0.223833,0.942651,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.55016,0.518042,-0.07495,0.942589,1.384333,0.016684,-2.24319,-0.23795,1.331694,0.803066,0.547027
CCOC(=O)[C@@H](N[C@H](C(=O)N1Cc2cc(OC)c(cc2C[C@H]1C(=O)O)OC)C)CCc1ccccc1.[Cl-].[H+],C27H34ClN2O7,0.662917,0.79241,0.669798,-0.11904,1.192762,0.53971,-0.15108,0.787003,0.105495,0.0577,0.075512,-0.65606,0.262228,0.548569,0.047507,-0.24168,-2.58E-02,-2.57E-02,0.098126,-0.15296,-2.52E-02,-2.52E-02,-0.61605,-0.6872,-2.47E-02,-2.47E-02,-1.43158,0.8216132743,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.2387,0.518042,2.195733,0.942589,-0.65233,-0.68318,0.418443,-0.23795,-0.77024,0.803066,0.481293
COc1c(C/C=C(/CCC(=O)OCCN2CCOCC2)\C)c(O)c2c(c1C)COC2=O,C23H31NO7,0.184283,0.357163,-0.25884,0.400084,0.67138,0.53971,-0.50877,0.326543,-0.13431,0.551985,0.441368,0.222585,0.201674,0.867894,0.65818,-0.33996,-2.58E-02,-2.57E-02,-0.84067,-0.45248,-2.52E-02,-2.52E-02,-0.61605,-0.2427,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,-0.53194,0.98634,2.749695,-0.36668,-0.37732,2.084166,2.529585,0.31007,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,1.331694,0.803066,-0.04458
N#CC1=C(O)[C@@H]2[C@]3([C@@](C1)(C)[C@H]1CC[C@]4([C@H]([C@@H]1CC3)CC[C@@H]4O)C)O2,C20H27NO3,-0.30623,-0.15062,-1.18747,1.518199,-1.06656,-0.44547,-0.15108,-0.19602,-0.34852,0.406111,0.359731,0.683719,0.403519,0.24521,0.585315,-0.21177,-2.58E-02,-2.57E-02,0.098126,-0.21714,-2.52E-02,-2.52E-02,-0.61605,0.443013,-2.47E-02,-2.47E-02,0.91283,0.8216132743,1.878749,0.98634,-0.36345,-0.36668,2.648644,-0.47951,-0.39508,0.473216,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,0.280728,-1.52227,1.365718
OO,H2O2,-1.69877,-1.74653,-1.18747,1.518199,-1.06656,-0.44547,-0.15108,-1.77241,-0.78685,0.406111,0.359731,0.683719,0.403519,0.24521,0.585315,-0.21177,-2.58E-02,-2.57E-02,0.098126,-0.21714,-2.52E-02,-2.52E-02,-0.61605,0.443013,-2.47E-02,-2.47E-02,0.91283,0.8216132743,1.878749,0.98634,-0.36345,-0.36668,2.648644,-0.47951,-0.39508,0.473216,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,0.280728,-1.52227,1.365718
O=C1NCC(O1)COc1cc(C)cc(c1)C,C12H15NO3,-0.81616,-0.73095,-0.25884,-0.19891,-0.54518,-0.69176,-0.50877,-0.6917,-0.70116,0.316898,0.135984,0.041871,0.12901,0.057607,0.259161,0.241164,-2.58E-02,-2.57E-02,0.098126,0.274922,-2.52E-02,-2.52E-02,0.223833,0.16735,-2.47E-02,-2.47E-02,0.91283,0.8216132743,1.878749,-1.01323,2.749695,-0.36668,-0.37732,-0.47951,-0.39508,0.525126,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-0.3596,-0.70192
SC[C@H](C(=O)N1CCC[C@H]1C(=O)O)C,C9H15NO3S,-0.83483,-0.87604,-1.18747,1.23867,-0.37138,-0.69176,-0.50877,-0.75825,-0.11162,0.231303,-0.42036,-0.31956,-0.25853,-0.63692,-0.18496,0.890655,-2.58E-02,-2.57E-02,1.036924,0.588703,-2.52E-02,-2.52E-02,1.063719,1.276892,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.050519,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.418443,-0.23795,0.280728,-0.3596,-0.80949
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.[Cl-].[H+],C11H16ClN2O2,-0.70553,-0.73095,-0.41361,0.679613,-0.54518,-0.69176,-0.86646,-0.71468,-0.74268,0.0577,-0.24499,-0.93337,0.040199,-0.22979,-0.2613,0.535999,-2.58E-02,-2.57E-02,1.036924,0.766988,-2.52E-02,-2.52E-02,1.063719,0.622193,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.139507,-0.58263,-0.07495,-0.59641,-0.65233,-0.68318,2.133721,-0.23795,-0.77024,-0.3596,-0.39716
[O-]S(=S)(=O)[O-].[Na+].[Na+],Na2O3S2,-1.11379,-1.38382,-1.18747,0.679613,-1.06656,-0.69176,-0.86646,-1.547,-0.02412,0.0577,-0.24499,-0.93337,0.040199,-0.22979,-0.2613,0.535999,-2.58E-02,-2.57E-02,1.036924,0.766988,-2.52E-02,-2.52E-02,1.063719,0.622193,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.139507,-0.58263,-0.07495,-0.59641,-0.65233,-0.68318,2.133721,-0.23795,-0.77024,-0.3596,-0.39716
CC(C1=NCCN1)Oc1c(Cl)cccc1Cl.[Cl-].[H+],C11H12Cl3N2O,-0.46574,-0.65841,-0.25884,-0.4385,-0.54518,-0.93806,-0.50877,-0.39344,-0.8694,0.0577,0.498817,-0.67164,0.742618,0.672307,0.245282,-0.27586,-2.58E-02,-2.57E-02,0.098126,-0.06382,-2.52E-02,-2.52E-02,0.223833,-0.21858,-2.47E-02,-2.47E-02,-0.25938,-0.7682798259,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.673441,-0.58263,-0.07495,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-1.52227,-0.25374
CN(Cc1cccc2c1cccc2)Cc1ccc(cc1)C(C)(C)C.[Cl-].[H+],C23H27ClN,-0.19074,-0.07808,1.288887,-0.6781,-0.19759,-1.18435,-0.86646,0.188256,-1.23604,0.0577,1.611502,0.406416,1.763951,1.426712,1.050259,-1.4552,-2.58E-02,-2.57E-02,-1.77947,-1.20127,-2.52E-02,-2.52E-02,-1.45594,-1.45561,-2.47E-02,-2.47E-02,-1.43158,0.8216132743,1.878749,0.98634,-0.36345,-0.36668,-0.37732,2.084166,-0.39508,1.507712,0.518042,-0.83184,-0.59641,-0.65233,0.716544,0.359296,-0.23795,-0.77024,0.803066,-1.14414
COc1ccccc1OCCNCC(COc1cccc2c1c1ccccc1[nH]2)O,C24H26N2O4,0.056917,0.284622,1.753204,-0.87776,0.67138,-0.19917,0.206612,0.317274,-0.36107,0.473623,0.798153,0.767845,0.351039,0.93575,0.852485,-0.72453,-2.58E-02,-2.57E-02,-0.84067,-0.74843,-2.52E-02,-2.52E-02,-0.61605,-1.39704,-2.47E-02,-2.47E-02,-1.43158,0.8216132743,1.878749,0.98634,2.749695,2.725518,2.648644,2.084166,2.529585,0.680857,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,1.965735,-0.28959
O=C(N[C@H](C(=O)NCC(=O)O)CSSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)CC[C@@H](C(=O)O)N,C20H32N6O12S2,1.028705,1.010034,-1.18747,0.519882,3.278288,2.017476,2.71045,0.687088,3.168953,-0.04357,-3.27766,-1.60637,-3.79081,-1.88229,-2.11066,2.980136,-2.55E-02,-2.52E-02,1.975722,2.050638,-2.52E-02,-2.52E-02,1.903605,1.411278,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-3.33477,2.719385,2.195733,2.481588,1.384333,3.515983,-2.24319,-0.23795,0.280728,0.803066,0.768133
OCCNC(=O)c1c(I)c(C(=O)NCC(CO)O)c(c(c1I)N(C(=O)C)CC(CO)O)I,C18H24I3N3O8,1.870015,0.429704,-0.25884,0.120555,1.366555,0.53971,1.637377,0.718602,0.893082,0.280731,-1.2579,-0.70591,-0.43615,0.097522,-0.33763,0.339442,-2.58E-02,-2.57E-02,0.098126,0.991627,-2.52E-02,-2.52E-02,1.063719,0.032965,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-1.97769,2.719385,1.438839,2.481588,1.384333,2.116264,-1.88831,-0.23795,0.280728,0.803066,0.104815
OC(=O)CCC(=O)O.CN[C@@H]1CCc2c(C1)c1cc(ccc1[nH]2)C(=O)N.O,C18H25N3O6,-0.07064,0.066999,0.20548,-0.3187,-0.19759,0.293415,1.279686,-0.02789,0.592336,0.303637,-1.21254,-0.02044,-0.56937,0.041641,-0.19537,1.091485,-2.58E-02,-2.57E-02,1.036924,1.123558,-2.52E-02,-2.52E-02,1.063719,-0.0394,-2.47E-02,-2.47E-02,-0.25938,-0.7682798259,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-1.00622,0.518042,-0.83184,0.942589,1.384333,1.416404,-2.24319,3.654948,-0.77024,-0.3596,-0.27764
CCC1(CC)C(=O)NCC(C1=O)C,C10H17NO2,-0.99529,-0.94858,-1.18747,1.318536,-0.71897,-0.93806,-0.50877,-0.85167,-0.71794,0.284348,-0.28732,-0.16377,-0.12128,-0.06214,0.033628,0.805196,-2.58E-02,-2.57E-02,1.036924,0.802645,-2.52E-02,-2.52E-02,1.063719,0.432675,-2.47E-02,-2.47E-02,0.91283,0.8216132743,1.878749,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.243328,-0.58263,-0.83184,-0.59641,-0.65233,0.016684,0.359296,-0.23795,0.280728,-0.3596,-1.13816
CCC(=O)C(c1ccccc1)(c1ccccc1)CC(N(C)C)C.[Cl-].[H+],C21H27ClNO,-0.22855,-0.15062,0.669798,-0.35864,0.149998,-0.93806,-0.86646,0.04274,-1.03003,0.0577,0.907003,0.041871,1.263377,0.999615,0.644301,-0.70316,-2.58E-02,-2.57E-02,-0.84067,-0.46674,-2.52E-02,-2.52E-02,-0.61605,-0.88017,-2.47E-02,-2.47E-02,-1.43158,0.8216132743,1.878749,0.98634,-0.36345,-0.36668,-0.37732,2.084166,-0.39508,0.914452,0.518042,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-0.3596,-0.56448
CCn1nc(C(=O)O)c(=O)c2c1cc1OCOc1c2,C12H10N2O5,-0.62304,-0.51333,0.360253,-0.87776,-0.71897,0.047121,-0.50877,-0.66334,-0.18113,0.290376,0.114819,-0.13573,-0.31908,-0.42936,0.037098,0.074518,-2.58E-02,-2.57E-02,0.098126,-0.02103,-2.52E-02,-2.52E-02,0.223833,0.604964,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,2.749695,-0.36668,-0.37732,-0.47951,-0.39508,0.41389,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.418443,-0.23795,-0.77024,-1.52227,-0.77961
O[C@H](COc1ccc(cc1)CCOCC1CC1)CNC(C)C.[Cl-].[H+],C18H29ClNO3,-0.23807,-0.22317,-0.25884,0.799411,0.845174,-0.44547,-0.15108,-0.11334,-0.66302,0.0577,0.56836,-0.56882,0.383334,0.592476,0.210585,-0.2075,-2.58E-02,-2.57E-02,0.098126,-0.27776,-2.52E-02,-2.52E-02,-0.61605,-0.25648,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.625238,-0.58263,-0.07495,0.942589,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,0.803066,-0.35533
FC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C14F30,1.620139,1.300198,-1.18747,2.11719,1.192762,5.958185,-0.86646,-0.54507,-1.27514,0.0577,2.654645,6.56318,2.926576,3.590138,3.236189,-2.97211,-2.58E-02,-2.57E-02,-2.71827,-2.45283,-2.52E-02,-2.52E-02,-2.29583,-1.50041,-2.47E-02,-2.47E-02,-1.43158,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,2.648644,-0.47951,-0.39508,1.548498,1.618714,0.681945,0.942589,1.384333,2.116264,-1.88831,-0.23795,0.280728,1.965735,-0.25374
COc1cc(cc(c1OC)OC)C(=O)NCc1ccc(cc1)OCCN(C)C.[Cl-].[H+],C21H28ClN2O5,0.143886,0.212081,0.669798,-0.35864,0.845174,0.047121,-0.50877,0.225886,-0.43928,0.0577,0.411132,-0.53766,0.282412,0.380923,0.127311,-0.33141,-2.58E-02,-2.57E-02,-0.84067,-0.22427,-2.52E-02,-2.52E-02,-0.61605,-0.75957,-2.47E-02,-2.47E-02,-1.43158,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.302654,-0.58263,-0.07495,0.942589,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,0.803066,-0.58241
[O-]C(=O)CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Ca+2].[Yb],C14H18CaN3Na3O10Yb,1.301065,0.429704,-1.18747,0.679613,1.714143,1.771181,-0.86646,-0.43793,1.263705,0.0577,-3.10229,-3.31381,-1.33638,-2.05393,-1.99963,2.416105,-2.58E-02,-2.57E-02,1.975722,3.016941,-2.52E-02,-2.52E-02,1.903605,1.983277,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-3.31252,1.618714,0.681945,2.481588,1.384333,2.816123,-1.88831,-0.23795,-0.77024,0.803066,-0.54058
OS(=O)(=O)O.NNCCc1ccccc1,C8H14N2O4S,-0.75479,-0.8035,-0.25884,-0.87776,-0.54518,0.047121,0.564304,-0.83277,0.185509,0.051672,-1.27604,-0.04849,-0.34331,-0.48924,-0.41397,1.454687,-2.58E-02,-2.57E-02,1.975722,1.451601,-2.52E-02,-2.52E-02,1.903605,0.418892,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.73555,-0.58263,-0.83184,-0.59641,-0.65233,0.016684,0.359296,-0.23795,1.331694,-0.3596,-1.27561
ClCCNP1(=O)OCCCN1CCCl,C7H15Cl2N2O2P,-0.62837,-0.87604,-1.18747,2.11719,-0.19759,-0.44547,-0.50877,-0.70949,-0.65506,0.308459,-0.26313,0.069912,-0.04861,-0.42936,0.054447,0.664188,-2.58E-02,-2.57E-02,1.036924,0.734897,-2.52E-02,-2.52E-02,1.063719,0.474025,-2.47E-02,-2.47E-02,0.91283,0.8216132743,1.878749,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.087597,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,1.331694,-1.52227,0.146646
CS(=O)(=O)O.CS(=O)(=O)O.NCCCC[C@@H](C(=O)N[C@H](Cc1ccccc1)C)N,C17H33N3O7S2,0.288457,0.212081,-0.25884,0.479949,0.497586,0.786004,0.921995,0.228296,1.21869,0.269881,-2.08032,0.337869,-0.37964,-0.08609,-0.32375,1.813616,-2.58E-02,-2.57E-02,1.975722,1.793908,-2.52E-02,-2.52E-02,1.903605,-0.03595,-2.47E-02,-2.47E-02,-0.25938,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-1.9369,-0.58263,-0.83184,0.942589,1.384333,0.716544,0.359296,-0.23795,0.280728,0.803066,-0.20593
